"workflow";"mean";"sd";"min";"max";"median"
"349";"w34";98.0908;96.5071307895147;11.32;628.44;71.665
"350";"w33";74.6774;69.1584517776802;10.66;462.71;54.725
"351";"w38";66.9112;36.9572345594975;8.98;189.99;60.99
"352";"w37";104.995;73.2029142737041;14.68;453.69;90.645
"353";"w44";91.998;258.175014014185;6.2;1828.02;43.12
"354";"w48";55.2068;54.573046065782;7.33;361.49;41.455
"355";"w43";54.144;59.3455512835028;7.02;410.8;42.33
"356";"w47";70.4016;173.912538743133;6.44;1235.4;33.72
"357";"w42";43.8746;43.0833154509364;7.05;294;35.645
"358";"w41";36.2278;28.3363482078249;6.5;198.58;32.36
"359";"w46";34.2814;20.370828984364;7.1;134.31;33
"360";"w45";49.888;43.8812682364676;7.55;302.75;43.92
"361";"w52";152.2058;319.274974080082;3.37;2195.07;61.725
"362";"w56";58.203;55.05766065625;4.69;320.35;38.49
"363";"w51";72.2694;69.8492484119499;7.31;440.01;50.405
"364";"w55";130.9002;268.282601590721;4.29;1701.51;33.625
"365";"w50";47.1982;39.8157196773909;6.6;249.28;37.31
"366";"w49";40.3742;30.584764920877;5.98;189.21;30.15
"367";"w54";31.3728;17.2183553031914;6.09;89.71;29.04
"368";"w53";63.7666;44.6062494299182;10.04;282.68;53.91
"369";"w60";54.4068;161.219003215236;4.3;1157.16;26.715
"370";"w64";40.0088;38.8661746667265;5.49;259.95;29.535
"371";"w59";37.3282;38.4905963967771;5.24;266.72;30.79
"372";"w63";56.28;159.842321667068;4.51;1142.92;24.41
"373";"w58";29.895;31.5398972634306;5.04;226.13;25.9
"374";"w57";23.7978;15.3447898875767;4.59;103.53;22.315
"375";"w62";23.3516;13.2731072842644;5.34;86.42;22.955
"376";"w61";34.9942;28.641810674863;5.64;198.32;32.25
"377";"w68";285.6236;632.104177191948;5.13;4331.76;104.235
"378";"w72";82.2814;80.5325266524055;6.77;458.96;51.575
"379";"w67";156.3506;172.233326747438;13.96;1127.35;103.44
"380";"w71";121.2226;206.107191398464;7.46;1422.51;54.775
"381";"w66";98.7494;101.665254562938;12.48;645.33;64.885
"382";"w65";76.821;65.6597425585658;13.5;354.75;51.385
"383";"w70";68.1404;38.7952765881495;10.02;199.2;62.595
"384";"w69";103.955;77.9852976789961;15.79;491.74;81.28
