1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
58.2;73.8;180.37;106.92;59.87;43.62;51.54;52.05;46.39;36.25;114.65;69.42;80.77;55.44;118.96;39.11;106.75;40.39;33.02;53.02;38.03;59.5;49.62;627.9;175.91;93.34;60.31;54.48;47.89;40.87;37.46;23.99;22.62;23.52;282.85;36.74;219.62;104.55;235.05;142.44;144.06;123.18;145.61;85.12;81.45;69.11;19.01;26.74;11.7;21.1
84.12;95.4;370.05;153.1;109.1;60.97;98.88;78.52;69.27;56.61;222.68;107.96;187.02;90.64;266.35;49.14;235.24;52.79;49.93;119.13;53.5;82.59;71.05;986.39;259.47;128.28;73.15;79.17;68.34;60.1;60.84;31.7;27.92;30.16;300.38;58.94;455.23;184.08;242.53;234.68;207.15;220.34;254.34;139.55;101.15;106.52;20.29;34.36;13.04;27.23
71.15;97.87;258.6;125.71;92.29;74.61;72.26;59.14;77.92;60.7;192.31;93.66;147.37;81.94;206.29;57.26;170.95;65.38;52.67;118.41;62.57;96.59;68.62;3933.9;444.96;192.31;111.89;94.2;74.59;59.2;43.93;18.57;15.5;16.04;1033.6;37.28;785.15;234.77;702.26;523.09;505.26;532.07;388.31;192.91;177.77;314.73;10.93;20.1;5.84;14.76
70.4;88.84;163.64;108.55;76.81;61.8;67.83;66.36;65.37;51.94;122.28;85.64;97.7;70.19;124.94;55.2;117.84;56.8;47.2;72.9;54.32;76.9;63.81;481.16;168.02;106.99;76.6;72.11;62.54;55.68;50.37;32.22;29.85;30.51;234.2;47.02;209.35;119.45;217.35;161.74;163.98;158.15;152.55;103.62;97.08;88.51;24.08;34.4;15.02;27.86
58.59;82.67;188.86;98.32;66.27;54.42;57.93;53.28;54.91;36.01;106.18;82.26;85.83;55.46;108.97;44.34;115.52;43.3;28.67;36.97;36.92;77.39;46.81;186.82;76.13;59.04;55.04;52.04;41.86;39.98;42.11;22.28;19.1;20.02;104.4;36.13;102.39;65.58;95.9;87.06;88.51;89.05;85.3;57.43;57.91;38.64;16.5;23.96;9.71;18.87
40.37;54.28;169.88;70.6;49.98;45.08;42.73;36.6;38.77;30.16;110.9;64.29;85.66;46.44;124.13;30.53;141.12;43.26;34.92;83.43;32.14;48.61;42.6;1375.11;271.23;115.87;65.37;51.87;45.7;40.4;34.53;20.44;18.69;19.81;419.54;44.06;240.98;151.88;250.35;314.97;184.85;185.27;162.78;84.66;85.28;55.48;13.55;25.5;7.76;19.97
43.84;55.68;108.61;55.71;47.14;47.2;43.34;34.53;41.66;38.05;97.28;50.6;77.75;50.85;115.02;33.72;93.47;52.24;42.98;84.17;39.95;46.61;54.17;458.07;187.33;108.41;63.62;48.18;47.59;38.64;31.94;16.94;17.14;16.76;268.29;33.73;225.28;115.65;223.13;184.86;161.92;154.59;144.78;87.61;84.91;76.47;9.75;16.32;7.34;14.59
27.16;34.04;58.26;41.97;27.92;25.49;25.97;23.78;38.13;27.2;54.41;30.74;42.09;27.22;45.04;23.01;36.97;20.56;16.87;26.92;24.4;35.47;20.78;223.82;50.35;31.66;26.81;28.29;22.75;20.92;18.91;13.49;12.31;13.08;76.56;18.01;67.52;40.45;61.83;51.4;51.7;51.58;48.19;35;34.05;43.78;12.7;19.31;7.72;13.72
30.22;33.6;65.9;45.53;30.83;24.18;28.61;27.66;36.27;29.09;59.77;31.6;46.69;31.05;53.36;26.3;38.18;21.15;17.39;29.39;26.94;38.53;22.07;318.78;70.9;35.52;28.94;30.11;24.54;22.56;20.4;14.65;13.13;13.54;149.72;19.72;96.63;52.19;100.67;61.41;69.18;55.04;62.6;41.93;36.84;59.72;13.81;18.63;8.16;14.76
34.83;38.83;103.71;54.56;40.47;26.55;37.05;33.29;46.82;39.02;94.81;34.37;79.2;39.55;82.79;29.41;47.26;22.21;19.45;42.14;32.06;45.67;25.17;553.75;94.78;40.62;30.58;34.73;29.23;26.7;25.78;15.41;13.97;13.87;126.36;23.54;135.3;70.13;104.18;70.29;82.26;70.18;83.21;52.63;43.35;97.15;14.17;20.54;8.24;16.66
