w_id;repr;stop;stem;spar;info;algo
w282;freq;default;none;0.98;>0;J48
w283;freq;default;none;0.98;>0;JRip
w284;freq;default;none;0.98;>0;knn
w285;freq;default;none;0.98;>0;C5.0Tree
w286;freq;default;none;0.98;>0;lda
w287;freq;default;none;0.98;>0;svmLinear2
w288;freq;default;none;0.98;>0;ranger
w289;freq;default;simple;0.99;none;nnet
w290;freq;default;simple;0.99;none;J48
w291;freq;default;simple;0.99;none;JRip
w292;freq;default;simple;0.99;none;knn
w293;freq;default;simple;0.99;none;C5.0Tree
w294;freq;default;simple;0.99;none;lda
w295;freq;default;simple;0.99;none;svmLinear2
w296;freq;default;simple;0.99;none;ranger
w297;freq;default;simple;0.99;>0;nnet
w298;freq;default;simple;0.99;>0;J48
w299;freq;default;simple;0.99;>0;JRip
w300;freq;default;simple;0.99;>0;knn
w301;freq;default;simple;0.99;>0;C5.0Tree
w302;freq;default;simple;0.99;>0;lda
w303;freq;default;simple;0.99;>0;svmLinear2
w304;freq;default;simple;0.99;>0;ranger
w305;freq;default;simple;0.98;none;nnet
w306;freq;default;simple;0.98;none;J48
w307;freq;default;simple;0.98;none;JRip
w308;freq;default;simple;0.98;none;knn
w309;freq;default;simple;0.98;none;C5.0Tree
w310;freq;default;simple;0.98;none;lda
w311;freq;default;simple;0.98;none;svmLinear2
w312;freq;default;simple;0.98;none;ranger
w313;freq;default;simple;0.98;>0;nnet
w314;freq;default;simple;0.98;>0;J48
w315;freq;default;simple;0.98;>0;JRip
w316;freq;default;simple;0.98;>0;knn
w317;freq;default;simple;0.98;>0;C5.0Tree
w318;freq;default;simple;0.98;>0;lda
w319;freq;default;simple;0.98;>0;svmLinear2
w320;freq;default;simple;0.98;>0;ranger
w321;freq;smart;none;0.99;none;nnet
w322;freq;smart;none;0.99;none;J48
w323;freq;smart;none;0.99;none;JRip
w324;freq;smart;none;0.99;none;knn
w325;freq;smart;none;0.99;none;C5.0Tree
w326;freq;smart;none;0.99;none;lda
w327;freq;smart;none;0.99;none;svmLinear2
w328;freq;smart;none;0.99;none;ranger
w329;freq;smart;none;0.99;>0;nnet
w330;freq;smart;none;0.99;>0;J48
w331;freq;smart;none;0.99;>0;JRip
w332;freq;smart;none;0.99;>0;knn
w333;freq;smart;none;0.99;>0;C5.0Tree
w334;freq;smart;none;0.99;>0;lda
w335;freq;smart;none;0.99;>0;svmLinear2
w336;freq;smart;none;0.99;>0;ranger
w337;freq;smart;none;0.98;none;nnet
w338;freq;smart;none;0.98;none;J48
w339;freq;smart;none;0.98;none;JRip
w340;freq;smart;none;0.98;none;knn
w341;freq;smart;none;0.98;none;C5.0Tree
w342;freq;smart;none;0.98;none;lda
w343;freq;smart;none;0.98;none;svmLinear2
w344;freq;smart;none;0.98;none;ranger
w345;freq;smart;none;0.98;>0;nnet
w346;freq;smart;none;0.98;>0;J48
w347;freq;smart;none;0.98;>0;JRip
w348;freq;smart;none;0.98;>0;knn
w349;freq;smart;none;0.98;>0;C5.0Tree
w350;freq;smart;none;0.98;>0;lda
w351;freq;smart;none;0.98;>0;svmLinear2
w352;freq;smart;none;0.98;>0;ranger
w353;freq;smart;simple;0.99;none;nnet
w354;freq;smart;simple;0.99;none;J48
w355;freq;smart;simple;0.99;none;JRip
w356;freq;smart;simple;0.99;none;knn
w357;freq;smart;simple;0.99;none;C5.0Tree
w358;freq;smart;simple;0.99;none;lda
w359;freq;smart;simple;0.99;none;svmLinear2
w360;freq;smart;simple;0.99;none;ranger
w361;freq;smart;simple;0.99;>0;nnet
w362;freq;smart;simple;0.99;>0;J48
w363;freq;smart;simple;0.99;>0;JRip
w364;freq;smart;simple;0.99;>0;knn
w365;freq;smart;simple;0.99;>0;C5.0Tree
w366;freq;smart;simple;0.99;>0;lda
w367;freq;smart;simple;0.99;>0;svmLinear2
w368;freq;smart;simple;0.99;>0;ranger
w369;freq;smart;simple;0.98;none;nnet
w370;freq;smart;simple;0.98;none;J48
w371;freq;smart;simple;0.98;none;JRip
w372;freq;smart;simple;0.98;none;knn
w373;freq;smart;simple;0.98;none;C5.0Tree
w374;freq;smart;simple;0.98;none;lda
w375;freq;smart;simple;0.98;none;svmLinear2
w376;freq;smart;simple;0.98;none;ranger
w377;freq;smart;simple;0.98;>0;nnet
w378;freq;smart;simple;0.98;>0;J48
w379;freq;smart;simple;0.98;>0;JRip
w380;freq;smart;simple;0.98;>0;knn
w381;freq;smart;simple;0.98;>0;C5.0Tree
w382;freq;smart;simple;0.98;>0;lda
w383;freq;smart;simple;0.98;>0;svmLinear2
w384;freq;smart;simple;0.98;>0;ranger
