"data";"workflow";"time"
"n10";"w91";25.9699999999993
"n10";"w96";28.1099999999993
"n10";"w89";21.8399999999993
"n10";"w93";29.0999999999993
"n10";"w103";61.6299999999989
"n10";"w100";106.689999999999
"n10";"w98";81.2699999999989
"n10";"w102";93.7199999999989
"n10";"w99";99.6699999999989
"n10";"w104";56.1299999999989
"n10";"w97";72.0899999999989
"n10";"w101";95.8199999999989
"n10";"w111";37.1399999999995
"n10";"w108";43.7899999999995
"n10";"w106";38.9499999999995
"n10";"w110";37.3399999999995
"n10";"w107";44.0299999999995
"n10";"w112";45.4199999999995
"n10";"w105";39.2699999999995
"n10";"w109";46.5099999999995
"n10";"w119";35.2999999999995
"n10";"w116";62.1699999999995
"n10";"w114";42.9999999999995
"n10";"w118";41.1299999999995
"n10";"w115";54.1499999999995
"n10";"w120";42.4999999999995
"n10";"w113";35.3999999999995
"n10";"w117";61.0799999999995
"n10";"w127";25.4900000000004
"n10";"w124";29.4100000000004
"n10";"w122";26.2900000000004
"n10";"w126";25.5700000000004
"n10";"w123";29.9900000000004
"n10";"w128";32.2200000000004
"n10";"w121";26.3300000000004
"n10";"w125";31.9000000000004
"n10";"w135";54.2799999999996
"n10";"w132";97.8699999999996
"n10";"w130";73.7999999999996
"n10";"w134";82.6699999999996
"n10";"w131";95.3999999999996
"n10";"w136";55.6799999999996
"n10";"w129";61.5299999999996
"n10";"w133";88.8399999999996
"n10";"w143";31.5199999999997
"n10";"w140";38.1699999999997
"n10";"w138";33.5999999999997
"n10";"w142";31.3399999999997
"n10";"w139";38.8299999999997
"n10";"w144";40.8799999999997
"n10";"w137";34.0399999999997
"n10";"w141";40.5299999999997
"n10";"w151";24.5900000000005
"n10";"w148";45.3300000000005
"n10";"w146";29.5300000000005
"n10";"w150";25.6900000000005
"n10";"w147";41.7500000000005
"n10";"w152";35.2500000000005
"n10";"w145";24.0500000000005
"n10";"w149";43.6500000000005
"n10";"w15";34.15
"n10";"w12";41.06
"n10";"w10";36.61
"n10";"w14";33.46
"n10";"w11";40
"n10";"w16";42.14
"n10";"w9";36.74
"n10";"w13";43.84
"n10";"w159";19.3300000000007
"n10";"w156";25.6000000000007
"n10";"w154";21.1200000000007
"n10";"w158";19.3600000000007
"n10";"w155";25.3700000000007
"n10";"w160";28.2500000000007
"n10";"w153";21.0200000000007
"n10";"w157";27.9800000000007
"n10";"w167";59.630000000001
"n10";"w164";99.910000000001
"n10";"w162";74.870000000001
"n10";"w166";87.070000000001
"n10";"w163";94.490000000001
"n10";"w168";58.550000000001
"n10";"w161";63.530000000001
"n10";"w165";90.020000000001
"n10";"w175";37.5300000000007
"n10";"w172";43.9500000000007
"n10";"w170";39.1700000000007
"n10";"w174";37.5800000000007
"n10";"w171";43.9200000000007
"n10";"w176";45.8900000000007
"n10";"w169";39.0300000000007
"n10";"w173";46.3600000000007
"n10";"w183";34.4999999999985
"n10";"w180";58.0899999999985
"n10";"w178";39.6799999999985
"n10";"w182";37.9399999999985
"n10";"w179";49.9399999999985
"n10";"w184";44.2599999999985
